x,Kx_Pst_I,Kx_Pst_II,Kx_Pst_III,qx_m,qx_w,wx_m,wx_w,Px_I,Px_II,Px_III
87.0000000000,0.2861765088,0.4342680252,0.2333249935,0.0976330000,0.0706870000,0.0001627086,0.0000965054,0.1579530000,0.1044770000,0.0359145000
88.0000000000,0.3259607393,0.4933159234,0.2618798103,0.1104500000,0.0810530000,0.0001101604,0.0000965054,0.1820135000,0.1193665000,0.0410045000
89.0000000000,0.3637046020,0.5839352323,0.3069043624,0.1246290000,0.0925300000,0.0000603510,0.0000965054,0.2078465000,0.1353400000,0.0465600000
90.0000000000,0.4014484648,0.6745545412,0.3519289145,0.1400930000,0.1053610000,0.0000202552,0.0000965054,0.2345100000,0.1524435000,0.0526625000
91.0000000000,0.4391923276,0.7651738501,0.3969534666,0.1569450000,0.1195510000,0.0000000000,0.0000965054,0.2613110000,0.1701155000,0.0598935000
92.0000000000,0.4769361903,0.8557931589,0.4419780187,0.1752050000,0.1350620000,0.0000000000,0.0000965054,0.2883860000,0.1889230000,0.0693800000
93.0000000000,0.5146800531,0.9464124678,0.4870025708,0.1947800000,0.1518090000,0.0000000000,0.0000965054,0.3157360000,0.2088680000,0.0811230000
94.0000000000,0.5535060916,1.0298380073,0.5511384362,0.2153490000,0.1696820000,0.0000000000,0.0000965054,0.3433610000,0.2299495000,0.0951220000
95.0000000000,0.5923321302,1.1132635468,0.6152743016,0.2348700000,0.1885360000,0.0000000000,0.0000965054,0.3712605000,0.2521670000,0.1113775000
96.0000000000,0.6311581687,1.1966890863,0.6794101669,0.2432500000,0.2082050000,0.0000000000,0.0000965054,0.3994345000,0.2755220000,0.1298885000
97.0000000000,0.6699842072,1.2801146258,0.7435460323,0.2512900000,0.2285130000,0.0000000000,0.0000965054,0.4278825000,0.3000125000,0.1506555000
98.0000000000,0.7088102457,1.3635401653,0.8076818977,0.2589600000,0.2492300000,0.0000000000,0.0000902250,0.4566060000,0.3256400000,0.1736795000
99.0000000000,0.7088102457,1.3635401653,0.8076818977,0.2662100000,0.2584500000,0.0000000000,0.0000432061,0.4856040000,0.3524045000,0.1989590000
100.0000000000,0.7088102457,1.3635401653,0.8076818977,0.2730200000,0.2629800000,0.0000000000,0.0000000000,0.5148765000,0.3803050000,0.2264950000
101.0000000000,0.7088102457,1.3635401653,0.8076818977,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.5444235000,0.4093425000,0.2562870000
