x,Kx_Pst_I,Kx_Pst_II,Kx_Pst_III,qx_m,qx_w,wx_m,wx_w,Px_I,Px_II,Px_III
81,0.100239097,0.1582890239,0.09463064,0.044972,0.028781,0.0001720351,9.65054E-005,0.0617245,0.040383,0.01446
82,0.113639342,0.178182728,0.1068681832,0.051337,0.03362,0.0001720351,9.65054E-005,0.072797,0.047953,0.016956
83,0.127039587,0.1980764321,0.1191057265,0.058538,0.039231,0.0001720351,9.65054E-005,0.085526,0.0567325,0.019868
84,0.1668238174,0.2571243303,0.1476605432,0.066668,0.045631,0.0001720351,9.65054E-005,0.100164,0.0667835,0.0232215
85,0.2066080479,0.3161722286,0.17621536,0.075827,0.05291,0.0001720351,9.65054E-005,0.116984,0.0781185,0.0270195
86,0.2463922784,0.3752201269,0.2047701767,0.086118,0.061231,0.0001720351,9.65054E-005,0.1362175,0.090705,0.031255
87,0.2861765088,0.4342680252,0.2333249935,0.097633,0.070687,0.0001627086,9.65054E-005,0.157953,0.104477,0.0359145
88,0.3259607393,0.4933159234,0.2618798103,0.11045,0.081053,0.0001101604,9.65054E-005,0.1820135,0.1193665,0.0410045
89,0.363704602,0.5839352323,0.3069043624,0.124629,0.09253,0.000060351,9.65054E-005,0.2078465,0.13534,0.04656
90,0.4014484648,0.6745545412,0.3519289145,0.140093,0.105361,2.02552E-005,9.65054E-005,0.23451,0.1524435,0.0526625
91,0.4391923276,0.7651738501,0.3969534666,0.156945,0.119551,0,9.65054E-005,0.261311,0.1701155,0.0598935
92,0.4769361903,0.8557931589,0.4419780187,0.175205,0.135062,0,9.65054E-005,0.288386,0.188923,0.06938
93,0.5146800531,0.9464124678,0.4870025708,0.19478,0.151809,0,9.65054E-005,0.315736,0.208868,0.081123
94,0.5535060916,1.0298380073,0.5511384362,0.215349,0.169682,0,9.65054E-005,0.343361,0.2299495,0.095122
95,0.5923321302,1.1132635468,0.6152743016,0.23487,0.188536,0,9.65054E-005,0.3712605,0.252167,0.1113775
96,0.6311581687,1.1966890863,0.6794101669,0.24325,0.208205,0,9.65054E-005,0.3994345,0.275522,0.1298885
97,0.6699842072,1.2801146258,0.7435460323,0.25129,0.228513,0,9.65054E-005,0.4278825,0.3000125,0.1506555
98,0.7088102457,1.3635401653,0.8076818977,0.25896,0.24923,0,0.000090225,0.456606,0.32564,0.1736795
99,0.7088102457,1.3635401653,0.8076818977,0.26621,0.25845,0,4.32061E-005,0.485604,0.3524045,0.198959
100,0.7088102457,1.3635401653,0.8076818977,0.27302,0.26298,0,0,0.5148765,0.380305,0.226495
101,0.7088102457,1.3635401653,0.8076818977,1,1,0,0,0.5444235,0.4093425,0.256287
